,JobTitle,Company
2263,system architect (f/m/d) railway signaling,5
1305,linux qa automation engineer - compute (m/f/d),5
244,business data modeler (f/m/d),5
842,global infrastructure engineer network service emea (m/w/d),5
659,"director engineering, aerospace (m/f/d)",5
1495,platform security engineer eu at [hr4you]-aw,5
296,cert - cyber threat intelligence specialist (all genders welcome),5
363,communication and network operations engineer (m/w/d),5
2276,system engineer process automation (m/f/d),5
280,c/c++ software developer (chromium),5
869,group controller (m/f/d),5
2260,system administrator (m/f/x),5
1792,security architect,5
1979,senior legal counsel business affairs (m/w/d),5
990,information security associate (m/f/d),5
2125,software developer,5
786,flight operations pilot & team-member flight operations (m/f/d),5
89,android developer (m/f/x),5
499,cyber risk services - vigilant - senior consultant (80-100%) at deloitte ag,5
1595,project manager (f/m/d) cbu six,5
719,erp security specialist (m/f/d),5
515,cyber security deployment expert,5
1146,it risk & security manager,5
2368,thesis design and implementation of a prototypical intrusion detection system for a connected industry 4.0 (i4.0) sensor,5
517,cyber security engineer,5
1601,project manager for international projects / security technology (m/f/d),5
1259,junior-system-administrator (f/m/x),5
247,business development manager professional foto & video for cee - based in vienna (m/w),4
975,information and communication technology (ict) site manager,4
2317,tech lead php engineer (f/m/d),4
400,consultant (all genders) cyber security,4
1778,securities lending controller (m/f/d) investment compliance,4
193,backend developer (f/m/d) for corporates and markets tribe,4
1055,innovation specialist (f/m/d),4
1682,research scientist for artificial intelligence (m/f),4
958,ibm senior insurance enterprise architect (w/m/x),4
887,head of competence center digital integration (m/f/d),4
905,head of logistics dach (m/f/d),4
259,business intelligence engineer (m/f) at amazon luxembourg,4
1731,salesforce cloud architect (m/f/d) (a plus is the specialization in marketing) at selecteam deutschland gmbh,4
1092,internship in confidential computing,4
1773,second level support it infrastructure,4
1699,"risk advisory - technology & digital risk, assistant manager/manager - zurich at deloitte ag",4
291,center manager at uso,4
2196,specialist in cybersecurity (m/f/d),4
196,backend developer – devops *,4
346,cloud migrations consultant (m/w/d),4
2046,senior software engineer,4
566,cybersecurity engineer (m/f) at med-el medical electronics,4
1418,network security specialist,4
26,(senior) it systems specialist m | f | d,4
2093,service manager systems & networks (m/f/d),4
1279,lead engineer (m/f/d) turret for our project land 400,4
1586,project assistant,4
2380,translation specialist (de - en),4
1413,network security implementation specialist #145647 at credit suisse,4
1411,"network security engineer, basel - permanent role",4
781,"financial planner at first command financial services, inc.",4
2135,software developer for planetariums with focus on c++ and 3d computer graphics (f/m/x),4
1931,senior devops engineer cloud (gn) - aws or azure,4
475,cto,4
1309,local it support technician (m/f/d),4
764,fico application analyst (f/m/d),4
1941,senior firmware engineer (m/f/d),4
749,expert active directory and messaging environment,4
39,2 junior global mobility from randstad schweiz ag,4
44,"9 university assistant positions in “dependable internet of things” graz university of technology, austria",4
733,executive assistant (m|w|d),4
1965,senior it infrastructure specialist (all genders),4
2008,"senior platform management specialist investran located in switzerland, luxembourg or poland #141370 at credit suisse",4
1971,senior java developer,4
2408,vice president engineering (m/f),4
1350,market access director (w/m/d),4
1538,"product engineer (m/f/d) health, safety & environment (hse)",4
64,administrative officer (m/f/d),4
1372,media data quality specialist*,4
528,cyber security incident handler & forensics (d/m/f),4
797,freight payment and audit consultant,4
1371,media data quality specialist (m/f/d),4
2148,software development manager - amazon redshift (m/w/d),4
574,data architect in the context of energy system transformation (f/m/d),4
1193,it system engineer client development (f/m/d),4
163,"audit - financial services industry, insurance, manager / sen. manager at deloitte ag",4
608,depository controller (m/w/d) investment compliance,4
874,group lead system definition and architecture (f/m/d),4
1645,regional controlling expert (m/f/d) europe,4
871,group cross risk reporting specialist #150610 at credit suisse,4
1201,it-consultant (m/f),4
587,data privacy attorney (4456) (m/w/d),4
1203,it-consultant (m/f) webmethods,4
865,graduate programme spead for safety (hseq) engineers 2021 (m/f/d),4
628,devops consultant (m/w/d),4
1435,operational sourcing manager,4
1421,network specialist (m/w/d),4
1878,senior business assistant for manufacturing sciences vienna (f/m/x),4
418,consultant or senior consultant - cyber security,4
804,front office supervisor (m/f),4
805,front-end web developer,4
811,full stack / back end developer (m/f/x),4
23,(senior) it manager (d/f/m),4
430,contract installation manager at tdb,4
634,"devops engineer (f/m/d) integration, verification, validation &amp; qualification",4
1231,junior community content management specialist (m/f/d),4
2028,senior scientist - cyber security researcher (d/f/m),3
2036,senior security consultant (m/f/d),3
536,cyber security penetration tester (d/f/m),3
546,cyber security specialist,3
2075,senior system engineer (m/f/d),3
2012,senior program manager (m/f) at amazon luxembourg,3
2035,senior security and system engineer,3
555,"cyber, seasoned cyber advisor - risk advisory, basel / zurich (80-100%) at deloitte ag",3
582,data engineer for our compliance division #148274 at credit suisse,3
2245,supply chain senior analyst (m/f) (h/f) at amazon luxembourg,3
581,data engineer for data analytics & products lab #151267 at credit suisse,3
1747,"sap data migration specialist, technology consulting, enterprise, technology and performance at deloitte ag",3
560,cyber-services consultant,3
564,cybersecurity engineer,3
888,"head of compliance switzerland for international wealth management, middle east & turkey & africa... at credit suisse",3
2215,staff software engineer,3
304,"channel account manager, austria",3
1913,senior credit specialist commodity trade finance (80-100%) #133909 at credit suisse,3
393,computer vision applied scientist,3
2173,software security architect,3
386,computer support administrator,3
383,computer operator i,3
378,"compliance officer within the global pep for latin-america, brazil and europe #149324 at credit suisse",3
377,compliance officer for the edd approvals and global coordination team within fcc compliance opera... at credit suisse,3
411,"consultant / senior consultant, risk & controls transformation at deloitte ag",3
416,consultant it & engineering from randstad schweiz ag,3
862,graduate - cyber security,3
933,hr administrative support from randstad schweiz ag,3
853,global study manager from randstad schweiz ag,3
812,full stack / backend software developer (m/f/d; full-time),3
1910,senior credit officer complex lombard lending #150343 at credit suisse,3
1911,senior credit risk reporting analyst #141836 at credit suisse,3
946,hse lead (m/w/d),3
1777,"sector head, credit risk management international wealth management special financing & trading c... at credit suisse",3
793,freelance it support & mobile device management specialist at umanova sa,3
784,fleet support aircraft care assistant,3
1805,security engineer (f/m/d),3
773,finance data quality manager*,3
345,cloud infrastructure engineer (m/f/d),3
2123,software architect - mobile / web app (m/f/diverse),3
875,group risk reporting team manager #140425 at credit suisse,3
339,cloud developer (m/f),3
748,expert (m/f/d) cybersecurity engineering,3
334,cloud architect- digital production platform (m/f/d) at autovision - der personaldienstleister gmbh & co. ohg,3
495,cyber incident responder,3
713,enterprise architect channel applications - iwm #142774 at credit suisse,3
987,information security architect,3
2102,site reliability engineer,3
834,german teachers & activity leaders for holiday course centre - engelberg - ch at alpadia language schools sa,3
1462,penetration tester - cyber security,3
1243,junior network engineer,3
1101,internship: javacard applet test engineer (m/f/d),3
1415,network security operations specialist,3
2435,windows devops engineer (it-cda-ad-2020-68-ld),3
1379,medical project coordinator // johnson & johnson from randstad schweiz ag,3
227,business analyst (m/f/d),3
49,account manager,3
217,board member (coo),3
2303,team head & legal counsel otc advisory #151421 at credit suisse,3
1523,private banking senior relationship manager (senior rm) for israel #116990 at credit suisse,3
2305,team head of market management and development russia/ukraine/central asia 80-100% #144948 at credit suisse,3
53,accountant,3
1134,"it manager, m&a transaction services, integration & separation advisory (80%-100%) at deloitte ag",3
1535,product controller #149156 at credit suisse,3
1338,"manager, switzerland & austria",3
1336,"manager, software development (m/w/d)",3
2326,technical design architect-berlin or neu isenburg (m/w/d),3
1663,"relationship manager/team leader/investment consultant for israel, cee, russia, central asia #120164 at credit suisse",3
1331,manager processes & operational excellence (m/f/d),3
177,avaloq developer,3
1191,it support technician,3
2391,ui/ux engineer for web portals and web applications (f/m/d),3
2339,technical service coordinator for azure active directory and office 365,3
161,"audit (wirtschaftsprüfer) corporate als senior / assistant manager (zürich, basel oder bern) at deloitte ag",3
1195,it systems administrator  working student (m/f/d) from campusjäger gmbh,3
1299,legal- private clients - (senior) lawyer - zurich (80-100%) at deloitte ag,3
1293,lean project portfolio manager (m/w/d),3
1275,"lead business architect, strategy & methodology - iwm #142765 at credit suisse",3
1596,project manager - module integration services,3
1265,kernel/hypervisor engineer (m/w/d),3
134,associate director (f/m/x) manufacturing it,3
1417,network security operations specialist #145652 at credit suisse,3
1153,it security engineer,3
1083,internship (m/f/d) development of a calculation tool / it / informatik from campusjäger gmbh,3
4,(associate) information security officer,3
1713,safety environmental engineer (m/w/d),3
1466,"penetration tester, cyber risk services - risk advisory, zurich (80-100%) at deloitte ag",3
1097,internship system test automation with analytics using data science concepts,3
